company_name,Street_Address,City_Address,Telephone,email,websiteurl,ul,tags
Fa. Rehorst Tweewielers,Apeldoornselaan 149 ,2573 LE 's-Gravenhage,070-3650033,info@rehorst-scooters.nl,www.rehorst-scooters.nl,https://www.bovag.nl/Leden/Fa-Rehorst-Tweewielers,[]
AVIA Xpress Fruitweg,Fruitweg 21 ,2525 KG 's-Gravenhage,703811822,,,https://www.bovag.nl/Leden/AVIA-Xpress-Fruitweg,[]
Beer Fietsen,Weimarstraat 31 ,2562 GP 's-Gravenhage,070-3923718,info@beerfietsen.nl,www.beerfietsen.nl,https://www.bovag.nl/Leden/Beer-Fietsen,[]
Rijwielshop Hollands Spoor,Stationsplein 29 ,2515 BV 's-Gravenhage,06-51750689,bikeshop@dds.nl,www.rijwielshop-hollands-spoor.nl,https://www.bovag.nl/Leden/Rijwielshop-Hollands-Spoor,[]
Garage 'De Lamboy',Boomsluiterskade 45 ,2511 VL 's-Gravenhage,070-3825116,service@garagedelamboy.nl,www.garagedelamboy.nl,https://www.bovag.nl/Leden/Garage-De-Lamboy,[]
Garage R.A. Smit,Vlasakkersstraat 31 ,2574 SB 's-Gravenhage,070-3635217,info@garagerasmit.nl,,https://www.bovag.nl/Leden/Garage-R-A-Smit,[]
Garage Hardeman,Snelliusstraat 6 ,2517 RJ 's-Gravenhage,070-3450861,info@garagehardeman.com,www.garagehardeman.com,https://www.bovag.nl/Leden/Garage-Hardeman,[]
Hertz Den Haag,Lekstraat 37 ,2515 XA 's-Gravenhage,070-3818989,nehag60@hertz.com,www.hertz.nl,https://www.bovag.nl/Leden/Hertz-Den-Haag,[]
C.P. Tettero's Autobedrijf,Lekstraat 49 ,2515 XA 's-Gravenhage,070-3853892,info@tetterosautobedrijf.nl,www.tetterosautobedrijf.nl,https://www.bovag.nl/Leden/C-P-Tettero-s-Autobedrijf,[]
Verkeersschool Metro V.O.F.,Vlasakkersstraat 116 ,2574 SL 's-Gravenhage,070-3645353,info@metro.nl,www.metro.nl,https://www.bovag.nl/Leden/Verkeersschool-Metro-V-O-F,[]
Garage Korporaal,Fahrenheitstraat 418 A- 420,2561 EN 's-Gravenhage,070-3451007,info@korporaal-autobedrijf.nl,www.korporaal-autobedrijf.nl,https://www.bovag.nl/Leden/Garage-Korporaal,[]
