business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed,price_level,formatted_phone_number,formatted_address
OPERATIONAL,"{'location': {'lat': 52.0633256, 'lng': 4.237756399999999}, 'viewport': {'northeast': {'lat': 52.06469988029151, 'lng': 4.239087530291503}, 'southwest': {'lat': 52.06200191970851, 'lng': 4.236389569708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Garage Meer en Bosch,{'open_now': True},"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102633292607691585433"">andries Toren</a>'], 'photo_reference': 'AeJbb3eIX2Dn9txA4Cf7DWlyAlIOwBcKRPJakUQffiiJwwSJr71od9-oCnsdBDKtF1VKWLK5Td9uQ8xI92ihaJOcXpjm8ur69tETjqB9kuCYwAVpa1F4jsbEltryfDkIPO7DoWL2BFg05iL-BnV3TPDfMvwuQ4IOfVThwCJhNHwm7FfJe71q', 'width': 4128}]",ChIJz_nUZ6ixxUcRickIw5DHJgs,"{'compound_code': '367Q+84 The Hague, Netherlands', 'global_code': '9F46367Q+84'}",4.8,ChIJz_nUZ6ixxUcRickIw5DHJgs,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",44,"Tannhäuserstraat 4, Den Haag",,,070 325 2635,"Tannhäuserstraat 4, 2555 JP Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.07044549999999, 'lng': 4.238592199999999}, 'viewport': {'northeast': {'lat': 52.07177838029149, 'lng': 4.239876280291501}, 'southwest': {'lat': 52.0690804197085, 'lng': 4.237178319708496}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Zandee Classics,,"[{'height': 768, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108015569454446503049"">Arjaan Zandee</a>'], 'photo_reference': 'AeJbb3fJweSnti9IDApuENl_Gex6s6p1NWf_VxXD90WDsxKa33uL4mNjwOA22k4UYnjH3NfaHckcG44ndhQGbKoccAm0hA4dIoLso_FeW5qsKlRq3TJXN3Pd2_gLFZXj4_bIgFkR6gxg2V4BUpFcPKLv_L7CrN-dMdpMvjlJW67dqmDxQ_3G', 'width': 1536}]",ChIJo7scWyGxxUcRCs5OcMXRyWQ,"{'compound_code': '36CQ+5C The Hague, Netherlands', 'global_code': '9F4636CQ+5C'}",,ChIJo7scWyGxxUcRCs5OcMXRyWQ,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",,"Dotterbloemlaan 87, Den Haag",,,06 24563917,"Dotterbloemlaan 87, 2555 TL Den Haag, Netherlands"
CLOSED_TEMPORARILY,"{'location': {'lat': 52.0602065, 'lng': 4.2385934}, 'viewport': {'northeast': {'lat': 52.0615565302915, 'lng': 4.239944830291502}, 'southwest': {'lat': 52.0588585697085, 'lng': 4.237246869708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Autodoktertje,,"[{'height': 516, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102887340135034627509"">Bart v/d Mark</a>'], 'photo_reference': 'AeJbb3fEfhsrH20kbgz2Mcl98m7-3p6uXiTZy8eLgZnnX-3fCncFwwSwEMYInugCGaXznuC7mqe_v7-M50Wa45V-PODVkcpwombkNfVQL40_Kj7fLSDTkPU6RvhHNQC1lPP5cXw8RbGDp3_SH37kLgHR0BBWst_-6Ke6YmzxKj636YgzFgfa', 'width': 409}]",ChIJP0ZWMVixxUcRtlUOR0VakWw,"{'compound_code': '366Q+3C The Hague, Netherlands', 'global_code': '9F46366Q+3C'}",4.9,ChIJP0ZWMVixxUcRtlUOR0VakWw,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",16,"Strausslaan 107, Den Haag",TRUE,,06 11127635,"Strausslaan 107, 2551 NB Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.06551229999999, 'lng': 4.2436981}, 'viewport': {'northeast': {'lat': 52.06693068029149, 'lng': 4.244995580291502}, 'southwest': {'lat': 52.06423271970849, 'lng': 4.242297619708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Amac Automotive Consultation,,,ChIJcY_dHQexxUcRsj5qsF1ICko,"{'compound_code': '368V+6F The Hague, Netherlands', 'global_code': '9F46368V+6F'}",,ChIJcY_dHQexxUcRsj5qsF1ICko,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",,"Verdistraat 16, Den Haag",,,03 385 31 26,"Verdistraat 16, 2555 VD Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.0683695, 'lng': 4.2446014}, 'viewport': {'northeast': {'lat': 52.0697908302915, 'lng': 4.246006730291502}, 'southwest': {'lat': 52.0670928697085, 'lng': 4.243308769708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Waaijenberg Mobiliteit Brommobielen Den Haag,{'open_now': True},"[{'height': 1512, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104990306741307712071"">Waaijenberg Mobiliteit Brommobielen Den Haag</a>'], 'photo_reference': 'AeJbb3e6GMbHrsIL2teeA1942klxwwd4Lc3AorLFs9DgpO7oidkFHpPlEIl6j-APMtJdFW_nUwIsm0Y0lf3TTPFbNsxmfoiSHHG4DfoBkVXtiNwHBHBlbO4BvldETgPFVx8-Omw4dDAermoUeFme_Xg8xKPqpOGoVDoLPSZHTdInoeY49U4P', 'width': 2016}]",ChIJ_S5iJgGxxUcRlAwjzHRD6tI,"{'compound_code': '369V+8R The Hague, Netherlands', 'global_code': '9F46369V+8R'}",4.4,ChIJ_S5iJgGxxUcRlAwjzHRD6tI,GOOGLE,"['car_rental', 'car_repair', 'store', 'point_of_interest', 'establishment']",48,"De Savornin Lohmanplein 3A, Den Haag",,,070 325 6505,"De Savornin Lohmanplein 3A, 2566 AA Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.0922503, 'lng': 4.260887499999999}, 'viewport': {'northeast': {'lat': 52.09360813029149, 'lng': 4.262255580291503}, 'southwest': {'lat': 52.09091016970849, 'lng': 4.259557619708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Handelsonderneming Santoro Onderdelen Import,{'open_now': True},"[{'height': 480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111639895730046844099"">Handelsonderneming Santoro Onderdelen Import</a>'], 'photo_reference': 'AeJbb3cyhGTJcJKbp-5eARIckG83TnrmnimT_ymz0A-Db2TykNNGXzJRS7WFm-Wf0dF0C0m_kQAClAlkefupaB1ArEi_SMuHy2fre24U7JupS_UkMG3bqCEzMZepcLlEfRdd3PCCu-v3CrFMKAruLTtyocFVXDKMxNTgwBdI5COSiuLmmi_N', 'width': 640}]",ChIJ1a9hJ-2wxUcRub3kvqi0G5E,"{'compound_code': '37R6+W9 The Hague, Netherlands', 'global_code': '9F4637R6+W9'}",5,ChIJ1a9hJ-2wxUcRub3kvqi0G5E,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",1,"Pluvierstraat 76, Den Haag",,,06 50485949,"Pluvierstraat 76, 2583 GJ Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.0915758, 'lng': 4.2636771}, 'viewport': {'northeast': {'lat': 52.0929509802915, 'lng': 4.264993480291503}, 'southwest': {'lat': 52.0902530197085, 'lng': 4.262295519708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lasbedrijf BCS,,"[{'height': 270, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109690071037702756166"">Lasbedrijf BCS</a>'], 'photo_reference': 'AeJbb3dVPgxvynImtMraF5v9SvbwptJKciWyXEaQWKe8ziIhLtO5e9cKzpyTQFCfRJyACmwJxOv2Es1rt3Lebs-yXpnAVZPjg5dbEBtoKjPdSXyhDGud2dZ-1jbt57X8i078ieyI2b7AbWgLmcIu5CaVgoymnVezLvi0AZC7mZ5qSKYT7jvy', 'width': 480}]",ChIJHSopn-ywxUcRZuSLgkC5U6s,"{'compound_code': '37R7+JF The Hague, Netherlands', 'global_code': '9F4637R7+JF'}",5,ChIJHSopn-ywxUcRZuSLgkC5U6s,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",3,"Zeezwaluwhof 17, Den Haag",,,070 355 3070,"Zeezwaluwhof 17, 2583 SX Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.09415660000001, 'lng': 4.260956200000001}, 'viewport': {'northeast': {'lat': 52.0955411302915, 'lng': 4.262406780291503}, 'southwest': {'lat': 52.09284316970851, 'lng': 4.259708819708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Eco Green Auto Clean,,,ChIJn5nT3pKwxUcRPZwRie050hU,"{'compound_code': '37V6+M9 The Hague, Netherlands', 'global_code': '9F4637V6+M9'}",,ChIJn5nT3pKwxUcRPZwRie050hU,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",,"Houtrustweg 482, Den Haag",,,043 516 6956,"Houtrustweg 482, 2583 Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.0986001, 'lng': 4.2719583}, 'viewport': {'northeast': {'lat': 52.09991463029149, 'lng': 4.273378030291502}, 'southwest': {'lat': 52.09721666970849, 'lng': 4.270680069708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Autoservice KwikFit Scheveningen,{'open_now': True},"[{'height': 3648, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105502907276086339255"">Autoservice KwikFit Scheveningen</a>'], 'photo_reference': 'AeJbb3fNKqpbc_5UeJahbriHlczPkv-YHhyCzUfDQK-p41xY4GdB2iOnbCQXLU_6DZkqu9lHwyUZe56Cjw_q2Rd7uSxjn3R5b-69yt0BZeAZGLduCsomI_PPcqOP7npouFzExBr2BsgBeHrJMCGf-KFwAY59NI6Vz1lwbS_oDurj77Rk2CgW', 'width': 5472}]",ChIJhxZI_72wxUcRdZva6da0rDo,"{'compound_code': '37XC+CQ The Hague, Netherlands', 'global_code': '9F4637XC+CQ'}",3.8,ChIJhxZI_72wxUcRdZva6da0rDo,GOOGLE,"['car_repair', 'store', 'point_of_interest', 'establishment']",108,"Westduinweg 186C, Den Haag",,,070 354 5213,"Westduinweg 186C, 2583 AH Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.0983505, 'lng': 4.2669778}, 'viewport': {'northeast': {'lat': 52.09965838029149, 'lng': 4.268406180291503}, 'southwest': {'lat': 52.09696041970849, 'lng': 4.265708219708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Garage De Jong,{'open_now': True},"[{'height': 2808, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117814390294868611937"">Cassien Smit</a>'], 'photo_reference': 'AeJbb3e8-CFzBxywawTOGxwJQdL1qSppwUx2F55tld36T-cTKRWZEmuEckM2LOpfjbYqAFSv5c9vUBtlmxwvT1J8BGmvFyNW_YIOivtPqYlbD139h2Ga9rXXEqI4HOGcEPy6n4JtoOPgPW6-RlBvmhgfT0j0aWCPlr8fvTV5ygQ-j-mqIVTW', 'width': 3719}]",ChIJC89HnpawxUcREEL3xTULwqY,"{'compound_code': '37X8+8Q The Hague, Netherlands', 'global_code': '9F4637X8+8Q'}",4.5,ChIJC89HnpawxUcREEL3xTULwqY,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",35,"Zeesluisweg 115, Den Haag",,,070 355 0478,"Zeesluisweg 115, 2583 DP Den Haag, Netherlands"
